CUSTOMER;C4C;CHANNEL;SECTOR;PRODUCT;SUPPLIER;SAMPLE STATUE;COMM CUST;RESULTS & NEXT STEP;YMB;Y VOL kg;VOL PO kg;REF PRODUIT SAP;PRIX/KG;REP;SAP ID;STARTED ON;UP TO DATE;OTHER
BARDINET;YES;BOISSON;JUS/SS ALCHOOL;ELIANE C 200;CARGILL;SHIPPED TO CUSTOMER;CUSTOMER RECEIVE SAMPLE;CLOSED  LOST;10000;25000;;;NO PRICING;MAGALIE;10847;2021-07-01;2022-08-31;projet texture en boisson + Mister Cocktail Utilise de la CMC (carbomexicellulose DOW)  pour viscosite - proposition pour clean label Eliane C200 
INNOVADRINK;YES;BOISSON;JUS/SS ALCHOOL;COLORANT CARAMEL  E150C;NIGAY;RECEIVED BY CUSTOMER;N/A;WAITING FOR CUSTOMER;1000;100;;;;CINDY;119606;2022-06-22;2022-09-15;waiting for customer
CPK;YES;CONFISERIE;CHOCOLAT;MELANGE VIT ;BRENNTAG AUTRICHE;NO SAMPLE REQUEST;N/A;CLOSED  LOST;2500;2500;; MBM-VM NBA020822-1 MLNG 3BC CONF CT25KG ;;GREGORY;34772;2022-07-01;;melange vitamine DSM - contrainte de prix cible 10euro le kg - voir avec Autriche 2,5 T par annee - produit et fiche tech envoye - Client va continuer avec DSM
BRASSERIE DE LA JONTE;YES;BOISSON;BRASSERIE;AROME EXOTIQUES;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1000;50;; 7.30223 Arome Nat Coco Bio/7.31091 Arome Nat Passion Bio/7.31045 Arome Nat Mangue Bio/7.31012 Arome Nat Exotiq Bio                                                            7.31042 Arome Nat Melon Bio (demande a Aromatech) ;NO PRICING;CINDY;106091;2022-08-01;2022-09-30;waiting for customer feedback 
CAREMBELLE;NO;CONFISERIE;OTHER;COLORANT ROUGE  E129;ROHA;SHIPPED TO CUSTOMER;CUSTOMER TRIED SAMPLE;CLOSED  LOST;500;50;;;38;VANESSA;22654;2022-08-01;2022-09-26;PRICING TO HIGH - NEED REVISION
CONFISERIE PINSON;YES;CONFISERIE;BONBON DUR;ISOMALT ET MALTITOL;CARGILL;RECEIVED BY CUSTOMER;CUSTOMER TRIED SAMPLE;WAITING FOR CUSTOMER;;4000;; Isomalt16502 ;NO PRICING;VANESSA;70446;2022-08-01;2022-09-30;customer waiting for pricing
ETHIQUABLE;NO;CONFISERIE;OTHER;AROME COCONUT & FRUIT ROUGE;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER HAS NOT TRIED SAMPLE;CLOSED  LOST;1000;50;; 7,30611   ;NO PRICING;CINDY;117351;2022-08-01;2022-09-30;ne peut pas certifier orignie non chine dans l arome coco
TOPLESS DRINK;NO;BOISSON;JUS/SS ALCHOOL;AROME HIBICUS;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER TRIED SAMPLE;CLOSED WIN;200;25; 4   ; 7.93684 AROME HIBISCUS ;128;CINDY;123504;2022-08-26;2022-09-30;livraison prevu nov 2022 - livraison Jardin D'orbrie
EUROVANILLE;NO;OTHER;OTHER;SUB MALTO;NATUREL WEST;NO SAMPLE REQUEST;N/A;WAITING FOR SAMPLE & PRICING;;;;;;BENOIT;;2022-09-01;;attend demande d echantillon du client - en attente
EUROVANILLE;NO;OTHER;OTHER;SUB GOMME ADRAGEANTE;IDEALFOOD;NO SAMPLE REQUEST;N/A;WAITING FOR SAMPLE & PRICING;;;;;;BENOIT;;2022-09-01;;attend demande d echantillon du client - en attente
